================ Training Loss (Thu May 14 22:09:10 2026) ================
[Rank 0] (epoch: 1, iters: 39500, time: 0.024, data: 0.002) , G_GAN: 2.084, G_L1: 20.727, D_real: 0.310, D_fake: 0.124

[Rank 0] (epoch: 1, iters: 40000, time: 0.027, data: 0.002) , G_GAN: 1.529, G_L1: 17.560, D_real: 0.083, D_fake: 0.352

[Rank 0] (epoch: 1, iters: 40500, time: 0.024, data: 0.002) , G_GAN: 1.492, G_L1: 20.045, D_real: 0.008, D_fake: 0.474

[Rank 0] (epoch: 1, iters: 41000, time: 0.024, data: 0.002) , G_GAN: 2.071, G_L1: 32.289, D_real: 0.250, D_fake: 0.726

[Rank 0] (epoch: 1, iters: 41500, time: 0.023, data: 0.002) , G_GAN: 2.829, G_L1: 17.808, D_real: 0.725, D_fake: 0.040

[Rank 0] (epoch: 1, iters: 42000, time: 0.027, data: 0.002) , G_GAN: 0.747, G_L1: 12.213, D_real: 0.886, D_fake: 0.242

[Rank 0] (epoch: 1, iters: 42500, time: 0.024, data: 0.002) , G_GAN: 1.065, G_L1: 13.748, D_real: 0.491, D_fake: 0.354

[Rank 0] (epoch: 1, iters: 43000, time: 0.024, data: 0.002) , G_GAN: 1.767, G_L1: 20.705, D_real: 0.060, D_fake: 0.341

[Rank 0] (epoch: 1, iters: 43500, time: 0.024, data: 0.002) , G_GAN: 2.564, G_L1: 10.775, D_real: 0.328, D_fake: 0.107

[Rank 0] (epoch: 1, iters: 44000, time: 0.026, data: 0.002) , G_GAN: 1.623, G_L1: 15.585, D_real: 0.100, D_fake: 0.525

[Rank 0] (epoch: 1, iters: 44500, time: 0.024, data: 0.002) , G_GAN: 1.882, G_L1: 30.412, D_real: 0.426, D_fake: 0.335

[Rank 0] (epoch: 1, iters: 45000, time: 0.024, data: 0.002) , G_GAN: 2.028, G_L1: 13.566, D_real: 0.153, D_fake: 0.375

[Rank 0] (epoch: 1, iters: 45500, time: 0.025, data: 0.002) , G_GAN: 1.990, G_L1: 16.091, D_real: 0.023, D_fake: 0.284

[Rank 0] (epoch: 1, iters: 46000, time: 0.029, data: 0.003) , G_GAN: 1.508, G_L1: 25.744, D_real: 0.397, D_fake: 0.253

[Rank 0] (epoch: 1, iters: 46500, time: 0.023, data: 0.002) , G_GAN: 1.496, G_L1: 17.713, D_real: 0.790, D_fake: 0.285

[Rank 0] (epoch: 1, iters: 47000, time: 0.023, data: 0.002) , G_GAN: 2.669, G_L1: 19.150, D_real: 0.159, D_fake: 0.138

[Rank 0] (epoch: 1, iters: 47500, time: 0.024, data: 0.002) , G_GAN: 0.845, G_L1: 33.221, D_real: 0.661, D_fake: 0.433

[Rank 0] (epoch: 1, iters: 48000, time: 0.026, data: 0.002) , G_GAN: 1.029, G_L1: 18.715, D_real: 0.006, D_fake: 1.255

[Rank 0] (epoch: 1, iters: 48500, time: 0.024, data: 0.002) , G_GAN: 1.634, G_L1: 17.891, D_real: 1.374, D_fake: 0.075

[Rank 0] (epoch: 1, iters: 49000, time: 0.024, data: 0.002) , G_GAN: 1.365, G_L1: 18.185, D_real: 0.113, D_fake: 0.383

[Rank 0] (epoch: 1, iters: 49500, time: 0.024, data: 0.002) , G_GAN: 1.163, G_L1: 22.362, D_real: 2.607, D_fake: 0.154

[Rank 0] (epoch: 2, iters: 172, time: 0.027, data: 0.002) , G_GAN: 1.292, G_L1: 17.000, D_real: 0.075, D_fake: 0.319

[Rank 0] (epoch: 2, iters: 672, time: 0.023, data: 0.002) , G_GAN: 0.952, G_L1: 15.246, D_real: 1.984, D_fake: 0.112

[Rank 0] (epoch: 2, iters: 1172, time: 0.024, data: 0.002) , G_GAN: 0.947, G_L1: 13.750, D_real: 0.744, D_fake: 0.198

[Rank 0] (epoch: 2, iters: 1672, time: 0.024, data: 0.002) , G_GAN: 2.030, G_L1: 16.355, D_real: 0.116, D_fake: 0.337

[Rank 0] (epoch: 2, iters: 2172, time: 0.027, data: 0.002) , G_GAN: 1.111, G_L1: 23.813, D_real: 0.000, D_fake: 0.648

[Rank 0] (epoch: 2, iters: 2672, time: 0.024, data: 0.002) , G_GAN: 1.511, G_L1: 21.944, D_real: 0.341, D_fake: 0.291

[Rank 0] (epoch: 2, iters: 3172, time: 0.023, data: 0.002) , G_GAN: 1.248, G_L1: 19.081, D_real: 0.620, D_fake: 0.293

[Rank 0] (epoch: 2, iters: 3672, time: 0.023, data: 0.002) , G_GAN: 1.620, G_L1: 30.381, D_real: 0.028, D_fake: 0.597

[Rank 0] (epoch: 2, iters: 4172, time: 0.027, data: 0.002) , G_GAN: 1.991, G_L1: 21.810, D_real: 0.029, D_fake: 0.838

[Rank 0] (epoch: 2, iters: 4672, time: 0.024, data: 0.002) , G_GAN: 2.267, G_L1: 18.044, D_real: 0.610, D_fake: 0.125

[Rank 0] (epoch: 2, iters: 5172, time: 0.024, data: 0.002) , G_GAN: 1.235, G_L1: 22.744, D_real: 0.002, D_fake: 0.816

[Rank 0] (epoch: 2, iters: 5672, time: 0.023, data: 0.002) , G_GAN: 1.480, G_L1: 13.822, D_real: 1.473, D_fake: 0.179

[Rank 0] (epoch: 2, iters: 6172, time: 0.026, data: 0.003) , G_GAN: 1.915, G_L1: 19.593, D_real: 0.038, D_fake: 0.205

[Rank 0] (epoch: 2, iters: 6672, time: 0.024, data: 0.002) , G_GAN: 1.117, G_L1: 24.275, D_real: 0.029, D_fake: 0.726

